113.162.138.223 554 5.5.1 Error: no valid recipients
177.228.206.107 554 5.5.1 Error: no valid recipients
14.219.185.88 UNKNOW
197.221.242.146 554 5.5.1 Error: no valid recipients
187.253.44.122 554 5.5.1 Error: no valid recipients
14.177.180.242 554 5.5.1 Error: no valid recipients
91.239.154.3 554 5.5.1 Error: no valid recipients
113.170.193.119 504 5.5.2 <localhost>: Helo command rejected: need fully-qualified
554 5.5.1 Error: no valid recipients
27.3.128.126 554 5.5.1 Error: no valid recipients
14.185.255.144 554 5.5.1 Error: no valid recipients
115.178.99.20 554 5.5.1 Error: no valid recipients
113.170.161.224 504 5.5.2 <localhost>: Helo command rejected: need fully-qualified
554 5.5.1 Error: no valid recipients
190.129.238.9 554 5.5.1 Error: no valid recipients
171.49.215.156 554 5.5.1 Error: no valid recipients
212.174.6.4 554 5.5.1 Error: no valid recipients
177.237.7.201 554 5.5.1 Error: no valid recipients
189.51.132.34 554 5.5.1 Error: no valid recipients
113.169.68.174 504 5.5.2 <LQH-PC>: Helo command rejected: need fully-qualified hostname
554 5.5.1 Error: no valid recipients
421 4.4.2 joris.com.cn Error: timeout exceeded
103.14.249.58 554 5.5.1 Error: no valid recipients
113.163.187.206 554 5.5.1 Error: no valid recipients
113.182.63.218 504 5.5.2 <GUGU-PC>: Helo command rejected: need fully-qualified hostname
554 5.5.1 Error: no valid recipients
179.228.165.99 554 5.5.1 Error: no valid recipients
110.172.182.107 554 5.5.1 Error: no valid recipients
197.211.63.20 554 5.5.1 Error: no valid recipients
186.121.220.79 554 5.5.1 Error: no valid recipients
213.198.221.56 554 5.5.1 Error: no valid recipients
116.100.154.192 554 5.5.1 Error: no valid recipients
202.152.38.76 554 5.5.1 Error: no valid recipients
180.193.97.218 554 5.5.1 Error: no valid recipients
115.79.85.24 450 4.1.8 <Long.Paula@adsl.viettel.vn>: Sender address rejected: Domain
554 5.5.1 Error: no valid recipients
177.232.99.92 554 5.5.1 Error: no valid recipients
181.232.109.75 554 5.5.1 Error: no valid recipients
113.173.135.222 504 5.5.2 <localhost>: Helo command rejected: need fully-qualified
554 5.5.1 Error: no valid recipients
201.160.134.98 554 5.5.1 Error: no valid recipients
212.156.133.66 554 5.5.1 Error: no valid recipients
115.78.10.208 554 5.5.1 Error: no valid recipients
14.163.250.16 554 5.5.1 Error: no valid recipients
118.136.79.103 554 5.5.1 Error: no valid recipients
111.94.237.139 554 5.5.1 Error: no valid recipients
144.139.154.36 554 5.5.1 Error: no valid recipients
118.69.66.6 554 5.5.1 Error: no valid recipients
203.160.61.97 554 5.5.1 Error: no valid recipients
117.4.101.15 504 5.5.2 <My-PC>: Helo command rejected: need fully-qualified hostname
554 5.5.1 Error: no valid recipients
118.136.180.68 554 5.5.1 Error: no valid recipients
186.146.174.4 554 5.5.1 Error: no valid recipients
103.232.242.2 554 5.5.1 Error: no valid recipients
180.72.51.244 554 5.5.1 Error: no valid recipients
