94.24.255.86	450 4.1.8 <user@bbb.chenk.ru>: Sender address rejected: Domain not found
14.156.118.163	450 4.1.8 <iqpkzan@shbypet.com>: Sender address rejected: Domain not
118.178.243.8	504 5.5.2 <iZm5e3gf6h0znjZ>: Helo command rejected: need fully-qualified
209.85.220.193	554 5.5.1 Error: no valid recipients
183.57.196.89	504 5.5.2 <?wfsha.com>: Helo command rejected: need fully-qualified
27.153.9.181	UNKNOW
120.76.213.150	504 5.5.2 <iZm5e3gf6h0znjZ>: Helo command rejected: need fully-qualified
94.24.255.86	450 4.1.8 <user@bbb.chenk.ru>: Sender address rejected: Domain not found
115.29.143.163	450 4.1.8 <admin@system.mail>: Sender address rejected: Domain not found
209.85.218.53	554 5.5.1 Error: no valid recipients
94.24.255.86	450 4.1.8 <user@bbb.chenk.ru>: Sender address rejected: Domain not found
209.85.214.45	554 5.5.1 Error: no valid recipients
218.19.39.164	450 4.1.8 <rdikHbOY@mhhdlowaj.com>: Sender address rejected: Domain not
209.85.220.195	554 5.5.1 Error: no valid recipients
114.112.48.231	554 5.5.1 Error: no valid recipients
115.29.143.163	450 4.1.8 <admin@system.mail>: Sender address rejected: Domain not found
94.24.255.86	450 4.1.8 <user@bbb.chenk.ru>: Sender address rejected: Domain not found
222.27.186.22	UNKNOW
94.24.255.86	450 4.1.8 <user@bbb.chenk.ru>: Sender address rejected: Domain not found
209.85.214.53	554 5.5.1 Error: no valid recipients
120.31.129.138	UNKNOW
114.112.48.231	554 5.5.1 Error: no valid recipients
61.152.122.118	UNKNOW
109.122.62.2	450 4.1.8 <adminmtz@pot.ck.minjust.gov.ua>: Sender address rejected: 554 5.5.1 Error: no valid recipients
115.29.143.163	450 4.1.8 <admin@system.mail>: Sender address rejected: Domain not found
94.24.255.86	450 4.1.8 <user@bbb.chenk.ru>: Sender address rejected: Domain not found
94.24.255.86	450 4.1.8 <user@bbb.chenk.ru>: Sender address rejected: Domain not found
124.129.18.56	554 5.5.1 Error: no valid recipients
59.37.23.174	UNKNOW
94.24.255.86	450 4.1.8 <user@bbb.chenk.ru>: Sender address rejected: Domain not found
209.85.218.44	554 5.5.1 Error: no valid recipients
115.29.143.163	450 4.1.8 <admin@system.mail>: Sender address rejected: Domain not found
94.24.255.86	450 4.1.8 <user@bbb.chenk.ru>: Sender address rejected: Domain not found
61.50.136.213	UNKNOW
125.94.198.11	450 4.1.8 <ShYXHwWe@ssgnjqt.com>: Sender address rejected: Domain not
221.194.108.203	UNKNOW
209.85.220.196	554 5.5.1 Error: no valid recipients
183.11.115.196	UNKNOW
94.24.255.86	450 4.1.8 <user@bbb.chenk.ru>: Sender address rejected: Domain not found
183.57.196.89	504 5.5.2 <?sh-zhengli.com>: Helo command rejected: need fully-qualified
95.165.236.130	UNKNOW
94.24.255.86	450 4.1.8 <user@bbb.chenk.ru>: Sender address rejected: Domain not found
94.24.255.86	450 4.1.8 <user@bbb.chenk.ru>: Sender address rejected: Domain not found
117.2.13.129	504 5.5.2 <117.2.13.129>: Helo command rejected: need fully-qualified
95.165.236.130	UNKNOW
61.164.112.6	504 5.5.2 <zs-info>: Helo command rejected: need fully-qualified hostname 554 5.5.1 Error: no valid recipients
221.238.140.4	UNKNOW
200.41.87.215	554 5.5.1 Error: no valid recipients
183.57.196.89	504 5.5.2 <?hosad.com>: Helo command rejected: need fully-qualified
222.239.254.182	554 5.5.1 Error: no valid recipients
209.85.214.42	554 5.5.1 Error: no valid recipients
209.85.220.196	554 5.5.1 Error: no valid recipients
182.201.139.170	554 5.5.1 Error: no valid recipients
209.85.218.53	554 5.5.1 Error: no valid recipients
94.24.255.86	450 4.1.8 <user@bbb.chenk.ru>: Sender address rejected: Domain not found
14.220.228.137	UNKNOW
202.104.116.179	UNKNOW
