209.85.214.53	554 5.5.1 Error: no valid recipients
58.61.155.151	450 4.1.8 <huangyu@ssszxf.net>: Sender address rejected: Domain not found
114.112.48.231	554 5.5.1 Error: no valid recipients
200.41.87.215	554 5.5.1 Error: no valid recipients
212.23.85.59	450 4.1.8 <lsoit4@pot.uralpost.ru>: Sender address rejected: Domain not 554 5.5.1 Error: no valid recipients
218.241.185.206	450 4.1.8 <ddqzlx@melat.zhtz.net.cn>: Sender address rejected: Domain not
117.87.50.2	450 4.1.8 <sjensjdlllk@ciaben.net>: Sender address rejected: Domain not
31.42.28.3	554 5.5.1 Error: no valid recipients
95.165.236.130	UNKNOW
125.94.199.112	450 4.1.8 <OYwXnGMV@wajulqob.com>: Sender address rejected: Domain not
117.87.78.171	450 4.1.8 <qcjdllll@jensjdm.edu>: Sender address rejected: Domain not
114.215.136.39	504 5.5.2 <iZm5e3gf6h0znjZ>: Helo command rejected: need fully-qualified
114.112.48.231	554 5.5.1 Error: no valid recipients
209.85.214.51	554 5.5.1 Error: no valid recipients
69.50.200.59	554 5.5.1 Error: no valid recipients
74.125.82.196	554 5.5.1 Error: no valid recipients
212.23.85.59	450 4.1.8 <lsoit4@pot.uralpost.ru>: Sender address rejected: Domain not 554 5.5.1 Error: no valid recipients
120.76.54.128	504 5.5.2 <iZm5e3gf6h0znjZ>: Helo command rejected: need fully-qualified
58.62.200.2	UNKNOW
209.85.214.44	554 5.5.1 Error: no valid recipients
124.42.97.67	554 5.5.1 Error: no valid recipients
209.85.215.45	554 5.5.1 Error: no valid recipients
221.238.140.4	UNKNOW
123.59.105.66	UNKNOW
218.75.77.171	450 4.1.8 <adminiliy@email.poi.zjhrss.gov.cn>: Sender address rejected: 554 5.5.1 Error: no valid recipients
123.59.105.66	UNKNOW
180.166.30.54	504 5.5.2 <SERVER3>: Helo command rejected: need fully-qualified hostname
59.37.23.173	UNKNOW
74.125.82.194	554 5.5.1 Error: no valid recipients
111.73.157.164	UNKNOW
58.61.155.151	450 4.1.8 <huangyu@ssszxf.net>: Sender address rejected: Domain not found
123.59.105.66	UNKNOW
82.116.198.189	UNKNOW
218.75.77.171	450 4.1.8 <adminiliy@email.poi.zjhrss.gov.cn>: Sender address rejected: 554 5.5.1 Error: no valid recipients
59.55.17.153	UNKNOW
123.59.105.66	UNKNOW
74.125.82.195	554 5.5.1 Error: no valid recipients
95.165.236.130	UNKNOW
82.116.198.189	UNKNOW
218.75.77.171	450 4.1.8 <adminiliy@email.poi.zjhrss.gov.cn>: Sender address rejected: 554 5.5.1 Error: no valid recipients
209.85.214.44	554 5.5.1 Error: no valid recipients
114.112.48.231	554 5.5.1 Error: no valid recipients
114.215.135.3	504 5.5.2 <iZm5e3gf6h0znjZ>: Helo command rejected: need fully-qualified
82.116.198.189	554 5.7.1 <unknown[82.116.198.189]>: Client host rejected: Access denied
111.251.103.173	504 5.5.2 <116.6.37.181>: Helo command rejected: need fully-qualified
218.58.172.12	UNKNOW
58.61.155.151	450 4.1.8 <huangyu@ssszxf.net>: Sender address rejected: Domain not found
121.34.163.194	UNKNOW
109.122.62.2	450 4.1.8 <chaban@sstop.ck.minjust.gov.ua>: Sender address rejected: 554 5.5.1 Error: no valid recipients
59.55.17.153	UNKNOW
209.85.214.52	554 5.5.1 Error: no valid recipients
212.23.85.59	450 4.1.8 <lsoit4@pot.uralpost.ru>: Sender address rejected: Domain not 554 5.5.1 Error: no valid recipients
123.59.105.66	UNKNOW
212.23.85.59	450 4.1.8 <lsoit4@pot.uralpost.ru>: Sender address rejected: Domain not 554 5.5.1 Error: no valid recipients
218.19.38.40	450 4.1.8 <vtDSmAKi@ttvwzi.com>: Sender address rejected: Domain not
200.12.232.6	UNKNOW
221.226.107.214	UNKNOW
111.251.105.63	504 5.5.2 <116.6.37.181>: Helo command rejected: need fully-qualified
114.112.48.231	554 5.5.1 Error: no valid recipients
125.94.199.112	450 4.1.8 <puxTnBLj@ttpxbj.com>: Sender address rejected: Domain not
109.122.62.2	450 4.1.8 <chaban@poi.ck.minjust.gov.ua>: Sender address rejected: Domain 554 5.5.1 Error: no valid recipients
123.59.105.66	UNKNOW
58.61.155.151	450 4.1.8 <huangyu@ssszxf.net>: Sender address rejected: Domain not found
209.85.214.46	554 5.5.1 Error: no valid recipients
111.73.157.167	UNKNOW
59.55.17.251	450 4.1.8 <pcsws011@pcshelp.hlp>: Sender address rejected: Domain not
109.122.62.2	450 4.1.8 <adminmtz@pot.ck.minjust.gov.ua>: Sender address rejected: 554 5.5.1 Error: no valid recipients
125.92.250.146	554 5.5.1 Error: no valid recipients
124.128.194.60	UNKNOW
200.41.87.215	554 5.5.1 Error: no valid recipients
218.19.38.40	450 4.1.8 <ganxvxtg@bwfjyeug.com>: Sender address rejected: Domain not
1.180.212.179	450 4.1.8 <qb@ptjxb.org>: Sender address rejected: Domain not found
209.85.214.42	554 5.5.1 Error: no valid recipients
209.85.214.51	554 5.5.1 Error: no valid recipients
114.112.48.231	554 5.5.1 Error: no valid recipients
61.186.100.30	UNKNOW
218.75.77.171	450 4.1.8 <adminiliy@email.poi.zjhrss.gov.cn>: Sender address rejected: 554 5.5.1 Error: no valid recipients
209.85.218.41	554 5.5.1 Error: no valid recipients
58.62.200.2	UNKNOW
123.59.105.66	UNKNOW
202.85.222.251	450 4.1.8 <wj.lin@torveno2.com>: Sender address rejected: Domain not 554 5.5.1 Error: no valid recipients
120.76.202.44	504 5.5.2 <iZm5e3gf6h0znjZ>: Helo command rejected: need fully-qualified
123.59.105.66	UNKNOW
74.125.82.195	554 5.5.1 Error: no valid recipients
212.23.85.59	450 4.1.8 <lsoit4@pot.uralpost.ru>: Sender address rejected: Domain not 554 5.5.1 Error: no valid recipients
