180.124.45.101	450 4.1.8 <ntkhzfr@shzep.com.tw>: Sender address rejected: Domain not
210.21.52.36	450 4.1.8 <swrtkeran@poi.813zy.com>: Sender address rejected: Domain not
114.113.148.161	535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 421 4.7.0 joris.com.cn Error: too many errors
58.47.54.92	450 4.1.8 <odweuvuphl@tmfxbcb.cc>: Sender address rejected: Domain not
222.188.91.95	UNKNOW
210.21.52.36	450 4.1.8 <swrtkeran@poi.813zy.com>: Sender address rejected: Domain not
125.67.236.56	UNKNOW
114.113.148.161	535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 421 4.7.0 joris.com.cn Error: too many errors
94.23.200.6	554 5.5.1 Error: no valid recipients
139.196.200.68	UNKNOW
183.8.202.112	UNKNOW
183.3.222.244	554 5.5.1 Error: no valid recipients
114.113.148.161	535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 421 4.7.0 joris.com.cn Error: too many errors
114.113.148.161	535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 421 4.7.0 joris.com.cn Error: too many errors
221.203.23.107	450 4.1.8 <gaoyang@pot.haihuiautomation.com>: Sender address rejected:
125.67.236.56	UNKNOW
114.113.148.161	535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 421 4.7.0 joris.com.cn Error: too many errors
124.248.244.118	450 4.1.8 <admin@jiangxijunli.com.cn>: Sender address rejected: Domain
110.88.218.56	UNKNOW
125.94.197.107	450 4.1.8 <FxeNlmTL@viyskfe.com>: Sender address rejected: Domain not
218.109.242.70	UNKNOW
118.190.82.146	504 5.5.2 <iZbp17r0ete90sZ>: Helo command rejected: need fully-qualified
114.113.148.161	535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 421 4.7.0 joris.com.cn Error: too many errors
58.100.3.4	UNKNOW
210.21.52.36	450 4.1.8 <swrtkeran@poi.813zy.com>: Sender address rejected: Domain not
114.113.148.161	535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 421 4.7.0 joris.com.cn Error: too many errors
119.141.25.44	UNKNOW
125.94.198.122	450 4.1.8 <gIExLVtV@fbiltx.com>: Sender address rejected: Domain not
218.241.185.206	450 4.1.8 <ddqzlx@melat.zhtz.net.cn>: Sender address rejected: Domain not
58.100.24.79	450 4.1.8 <wwie@akiok.cn>: Sender address rejected: Domain not found
210.21.52.36	450 4.1.8 <swrtkeran@poi.813zy.com>: Sender address rejected: Domain not
221.203.23.107	450 4.1.8 <gaoyang@pot.haihuiautomation.com>: Sender address rejected:
114.113.148.161	535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 421 4.7.0 joris.com.cn Error: too many errors
219.82.112.244	UNKNOW
124.248.244.118	450 4.1.8 <admin@jiangxijunli.com.cn>: Sender address rejected: Domain
210.21.52.36	450 4.1.8 <swrtkeran@poi.813zy.com>: Sender address rejected: Domain not
210.21.52.36	450 4.1.8 <swrtkeran@poi.813zy.com>: Sender address rejected: Domain not
210.21.52.36	450 4.1.8 <swrtkeran@poi.813zy.com>: Sender address rejected: Domain not
210.21.52.36	450 4.1.8 <swrtkeran@poi.813zy.com>: Sender address rejected: Domain not
195.22.126.189	535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 421 4.7.0 joris.com.cn Error: too many errors
210.21.52.36	450 4.1.8 <swrtkeran@poi.813zy.com>: Sender address rejected: Domain not
116.236.134.30	UNKNOW
122.190.107.254	450 4.1.8 <tcat@epquf.com>: Sender address rejected: Domain not found
183.60.134.171	450 4.1.8 <wsfi@yqkyzorg.cn>: Sender address rejected: Domain not found
218.241.185.206	450 4.1.8 <ddqzlx@melat.zhtz.net.cn>: Sender address rejected: Domain not
124.248.244.118	450 4.1.8 <admin@jiangxijunli.com.cn>: Sender address rejected: Domain
101.30.74.239	450 4.1.8 <jrxwg@tv.org>: Sender address rejected: Domain not found
125.94.199.31	450 4.1.8 <dikHaOYw@qqttxgjze.com>: Sender address rejected: Domain not
60.190.199.42	UNKNOW
210.21.52.36	450 4.1.8 <swrtkeran@poi.813zy.com>: Sender address rejected: Domain not
114.113.148.161	535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 421 4.7.0 joris.com.cn Error: too many errors
210.21.52.36	450 4.1.8 <swrtkeran@poi.813zy.com>: Sender address rejected: Domain not
114.113.148.161	535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 535 5.7.0 Error: authentication failed: authentication failure 421 4.7.0 joris.com.cn Error: too many errors
